symbol,timeframe,direction,mode,entry_ts,exit_ts,entry,sl,tp,exit_price,exit_reason,score,cnt,src,risk,r,pnl_pct,bars_held
BTC/USDT,15m,long,reversion,2025-11-30 18:00:00+00:00,2025-11-30 21:15:00+00:00,91189.15101727982,90966.67023063591,91912.74031317356,90966.67023063591,sl,5.2,5,빗각 가격대 넥라인 돌파선 FVG,222.48078664390778,-1.4093742745063775,-0.34385526542345823,13
BTC/USDT,15m,long,reversion,2025-11-30 22:15:00+00:00,2025-11-30 22:30:00+00:00,91207.37254729412,91065.86688108592,91389.853580968,91065.86688108592,sl,4.25,4,피보 가격대 넥라인,141.50566620819154,-1.6440492607561341,-0.25506960613490826,1
BTC/USDT,15m,long,reversion,2025-11-30 23:00:00+00:00,2025-11-30 23:00:00+00:00,91207.37254729412,91065.19078088403,91400.46168035742,91065.19078088403,sl,4.25,4,피보 가격대 넥라인,142.18176641008176,-1.640984311597544,-0.25581051351214784,0
BTC/USDT,15m,long,reversion,2025-11-30 23:45:00+00:00,2025-11-30 23:45:00+00:00,90470.74588235295,90332.98109715823,90847.503816,90360.0,flip,3.4000000000000004,3,가격대 돌파선,137.7647851947113,-1.4601790654252331,-0.2223495046185528,0
BTC/USDT,15m,long,reversion,2025-12-03 14:00:00+00:00,2025-12-03 14:00:00+00:00,91987.3888235294,91031.2399108357,93041.29633066666,93130.89,tp,3.4000000000000004,3,가격대 FVG,956.148912693694,1.0991405450622609,1.142484910703341,0
BTC/USDT,15m,long,reversion,2025-12-03 23:00:00+00:00,2025-12-04 13:45:00+00:00,93726.6303773585,92483.7499095481,96212.39131297928,92483.7499095481,sl,5.3,5,피보 가격대 넥라인,1242.8804678103916,-1.074910816087953,-1.425406688125831,59
BTC/USDT,15m,long,reversion,2025-12-04 14:45:00+00:00,2025-12-04 19:00:00+00:00,92315.58162162162,91558.18947579588,93410.92951219513,91558.18947579588,sl,3.7,3,피보 가격대 돌파선,757.3921458257391,-1.121386108973279,-0.920027818115943,17
BTC/USDT,15m,short,reversion,2025-12-07 14:30:00+00:00,2025-12-07 15:00:00+00:00,88072.471332,88594.74166508087,87403.58961999998,88594.74166508087,sl,3.75,3,피보 가격대,522.2703330808727,-1.1691338774260076,-0.6932971566991308,2
BTC/USDT,15m,short,reversion,2025-12-07 15:45:00+00:00,2025-12-07 16:45:00+00:00,89174.70289333333,89750.8113641733,88089.00090239999,89750.8113641733,sl,3.5999999999999996,3,피보,576.1084708399721,-1.1552880432365726,-0.7463677549504718,4
BTC/USDT,15m,long,reversion,2025-12-07 21:45:00+00:00,2025-12-07 21:45:00+00:00,90239.73075471698,90014.75178975525,91203.56363636361,90014.75178975525,sl,5.3,5,가격대 넥라인,224.97896496173053,-1.400602968760066,-0.34918788387175625,0
BTC/USDT,15m,long,reversion,2025-12-08 00:00:00+00:00,2025-12-08 00:15:00+00:00,90239.73075471698,89959.15098809512,90849.95,89959.15098809512,sl,5.3,5,가격대 넥라인,280.57976662185683,-1.3211188103696547,-0.41077162397660066,1
BTC/USDT,15m,long,reversion,2025-12-08 00:30:00+00:00,2025-12-08 01:15:00+00:00,90239.73075471698,89962.48766320448,90849.95,90849.95,tp,5.3,5,가격대 넥라인,277.24309151250054,1.8744359041394922,0.5758820428201441,3
BTC/USDT,15m,long,reversion,2025-12-08 08:45:00+00:00,2025-12-08 09:00:00+00:00,91747.3401263135,91577.7298087834,91998.43727272726,91998.43727272726,tp,6.95,6,피보 빗각 가격대 넥라인,169.61031753009593,0.9387651649551406,0.1735464564912963,1
BTC/USDT,15m,long,reversion,2025-12-08 12:30:00+00:00,2025-12-08 13:00:00+00:00,91746.12844036697,91597.10298760411,92018.28272727273,92018.28272727273,tp,5.45,5,피보 가격대 넥라인,149.02545276285673,1.2096730993248874,0.19649012376485456,2
BTC/USDT,15m,long,reversion,2025-12-08 15:00:00+00:00,2025-12-08 15:00:00+00:00,90228.23437387755,90007.55914416799,90853.74071234782,90853.74071234782,tp,7.3500000000000005,6,피보 가격대,220.67522970956634,2.4242202064600935,0.5929023820974094,0
BTC/USDT,15m,long,reversion,2025-12-08 15:15:00+00:00,2025-12-08 15:15:00+00:00,90197.09211860139,89988.02991958456,90893.27442559999,89988.02991958456,sl,7.15,6,피보 가격대 돌파선,209.06219901682925,-1.4309366372437353,-0.33166785426137635,0
BTC/USDT,15m,long,reversion,2025-12-08 15:30:00+00:00,2025-12-08 15:45:00+00:00,89751.41221052631,89283.46099675709,90228.23437387755,90228.23437387755,tp,4.75,4,피보 가격대 돌파선,467.9512137692218,0.8266510026616044,0.43100418203076823,1
